Orthogroup,camp,ecoli,pa,sam,staph,Total
OG0000186,0,3,0,7,0,10
OG0000187,0,2,4,2,2,10
OG0000188,0,2,6,2,0,10
OG0000189,0,1,0,7,2,10
OG0000190,0,2,6,1,1,10
OG0000191,0,1,5,1,3,10
OG0000192,0,1,6,1,2,10
OG0000193,0,4,0,6,0,10
OG0000194,0,2,6,1,1,10
OG0000195,0,3,0,3,4,10
OG0000196,0,2,3,5,0,10
OG0000197,0,1,6,2,1,10
OG0000198,0,3,2,3,2,10
OG0000199,1,2,4,1,1,9
OG0000200,5,2,0,2,0,9
OG0000201,3,2,2,2,0,9
OG0000202,1,2,2,2,2,9
OG0000203,2,1,4,1,1,9
OG0000204,2,1,4,1,1,9
OG0000205,2,2,2,2,1,9
OG0000206,1,3,1,3,1,9
OG0000207,1,2,2,3,1,9
OG0000208,1,2,3,2,1,9
OG0000209,1,2,2,2,2,9
OG0000210,1,2,2,2,2,9
OG0000211,1,2,3,2,1,9
OG0000212,3,2,2,2,0,9
OG0000213,1,2,3,2,1,9
OG0000214,1,4,1,3,0,9
OG0000215,1,3,1,3,1,9
OG0000216,1,2,2,2,2,9
OG0000217,2,2,3,2,0,9
OG0000218,1,2,2,2,2,9
OG0000219,1,1,2,3,2,9
OG0000220,1,2,2,2,2,9
OG0000221,1,1,3,1,3,9
OG0000222,2,2,2,2,1,9
OG0000223,1,2,3,1,2,9
OG0000224,1,2,1,3,2,9
OG0000225,0,4,0,4,1,9
OG0000226,0,4,1,4,0,9
OG0000227,0,3,4,2,0,9
OG0000228,0,1,7,1,0,9
OG0000229,0,3,2,2,2,9
OG0000230,0,1,4,2,2,9
OG0000231,0,3,1,5,0,9
OG0000232,0,3,0,6,0,9
OG0000233,0,1,2,3,3,9
OG0000234,0,3,3,3,0,9
OG0000235,0,2,1,4,2,9
OG0000236,0,4,1,3,1,9
OG0000237,0,3,2,1,3,9
OG0000238,0,3,2,2,2,9
OG0000239,0,3,2,3,1,9
OG0000240,0,3,4,1,1,9
OG0000241,0,0,0,0,9,9
OG0000242,0,0,0,0,9,9
OG0000243,1,2,1,2,2,8
OG0000244,2,2,2,1,1,8
OG0000245,1,1,4,1,1,8
OG0000246,5,0,1,0,2,8
OG0000247,2,1,3,1,1,8
OG0000248,1,2,1,2,2,8
OG0000249,3,2,1,2,0,8
OG0000250,2,2,1,2,1,8
OG0000251,1,2,3,1,1,8
OG0000252,1,2,3,1,1,8
OG0000253,7,0,0,1,0,8
OG0000254,1,4,1,1,1,8
OG0000255,1,2,2,2,1,8
OG0000256,8,0,0,0,0,8
OG0000257,2,1,1,2,2,8
OG0000258,3,1,1,1,2,8
OG0000259,1,2,2,2,1,8
OG0000260,1,1,5,1,0,8
OG0000261,1,2,2,2,1,8
OG0000262,1,2,2,2,1,8
OG0000263,1,1,3,1,2,8
OG0000264,1,2,2,2,1,8
OG0000265,2,1,2,2,1,8
OG0000266,1,2,2,2,1,8
OG0000267,1,2,2,2,1,8
OG0000268,1,1,2,2,2,8
OG0000269,1,2,2,2,1,8
OG0000270,1,2,1,3,1,8
OG0000271,1,2,2,2,1,8
OG0000272,1,1,2,0,4,8
OG0000273,1,2,2,2,1,8
OG0000274,1,2,1,2,2,8
OG0000275,1,2,2,2,1,8
OG0000276,1,2,2,2,1,8
OG0000277,1,2,2,2,1,8
OG0000278,1,2,2,2,1,8
OG0000279,1,2,1,2,2,8
OG0000280,1,1,3,2,1,8
OG0000281,1,2,1,2,2,8
OG0000282,1,2,1,2,2,8
OG0000283,1,3,1,3,0,8
OG0000284,1,2,2,2,1,8
OG0000285,1,2,1,2,2,8
OG0000286,1,1,2,2,2,8
OG0000287,1,3,1,2,1,8
OG0000288,1,2,2,2,1,8
OG0000289,1,2,1,3,1,8
OG0000290,1,2,2,1,2,8
OG0000291,1,1,3,1,2,8
OG0000292,0,8,0,0,0,8
OG0000293,0,1,6,1,0,8
OG0000294,0,3,5,0,0,8
OG0000295,0,3,0,5,0,8
OG0000296,0,2,3,2,1,8
OG0000297,0,1,2,2,3,8
OG0000298,0,3,2,3,0,8
OG0000299,0,3,1,3,1,8
OG0000300,0,1,0,7,0,8
OG0000301,0,2,4,2,0,8
OG0000302,0,2,3,2,1,8
OG0000303,0,2,2,2,2,8
OG0000304,0,3,2,2,1,8
OG0000305,0,1,6,1,0,8
OG0000306,0,3,3,2,0,8
OG0000307,0,1,6,1,0,8
OG0000308,0,1,5,1,1,8
OG0000309,0,2,0,6,0,8
OG0000310,0,1,6,1,0,8
OG0000311,0,1,6,1,0,8
OG0000312,0,1,4,2,1,8
OG0000313,0,3,2,2,1,8
OG0000314,0,2,2,2,2,8
OG0000315,0,2,2,2,2,8
OG0000316,0,1,4,3,0,8
OG0000317,0,1,4,3,0,8
OG0000318,0,1,5,2,0,8
OG0000319,0,0,7,0,1,8
OG0000320,0,0,0,0,8,8
OG0000321,1,2,2,2,0,7
OG0000322,1,2,2,2,0,7
OG0000323,2,2,1,1,1,7
OG0000324,1,1,3,1,1,7
OG0000325,1,2,2,1,1,7
OG0000326,1,2,2,1,1,7
OG0000327,2,1,4,0,0,7
OG0000328,7,0,0,0,0,7
OG0000329,3,1,1,2,0,7
OG0000330,1,2,1,2,1,7
OG0000331,2,0,5,0,0,7
OG0000332,7,0,0,0,0,7
OG0000333,1,2,1,2,1,7
OG0000334,1,2,1,2,1,7
OG0000335,1,2,2,2,0,7
OG0000336,1,1,1,2,2,7
OG0000337,3,1,1,1,1,7
OG0000338,1,2,2,2,0,7
OG0000339,2,2,1,1,1,7
OG0000340,1,2,2,2,0,7
OG0000341,1,0,5,0,1,7
OG0000342,1,1,1,1,3,7
OG0000343,2,1,1,1,2,7
OG0000344,1,2,3,1,0,7
OG0000345,1,0,1,4,1,7
OG0000346,2,1,1,1,2,7
OG0000347,1,1,4,1,0,7
OG0000348,1,1,3,1,1,7
OG0000349,2,1,1,1,2,7
OG0000350,1,1,2,3,0,7
OG0000351,1,1,1,1,3,7
OG0000352,2,1,1,1,2,7
OG0000353,1,1,3,1,1,7
OG0000354,1,1,2,1,2,7
OG0000355,1,2,2,1,1,7
OG0000356,1,2,1,2,1,7
OG0000357,1,1,1,1,3,7
OG0000358,1,1,1,1,3,7
OG0000359,1,1,1,3,1,7
OG0000360,1,2,1,2,1,7
OG0000361,1,2,1,2,1,7
OG0000362,1,2,1,2,1,7
OG0000363,2,1,3,1,0,7
OG0000364,1,2,2,2,0,7
OG0000365,2,2,0,3,0,7
OG0000366,1,1,3,1,1,7
OG0000367,1,2,1,2,1,7
OG0000368,1,2,1,2,1,7
OG0000369,1,2,1,2,1,7
OG0000370,1,1,3,1,1,7
OG0000371,1,2,1,2,1,7
OG0000372,1,2,2,2,0,7
OG0000373,1,0,4,0,2,7
OG0000374,1,2,1,2,1,7
OG0000375,4,1,1,1,0,7
OG0000376,1,1,4,1,0,7
OG0000377,1,2,2,2,0,7
OG0000378,1,2,3,1,0,7
OG0000379,1,1,3,1,1,7
OG0000380,1,2,2,2,0,7
OG0000381,1,1,2,1,2,7
OG0000382,1,3,0,2,1,7
OG0000383,1,1,3,1,1,7
OG0000384,1,1,5,0,0,7
OG0000385,1,2,1,1,2,7
OG0000386,1,2,1,3,0,7
OG0000387,1,2,1,2,1,7
OG0000388,1,1,4,1,0,7
OG0000389,1,1,2,1,2,7
OG0000390,1,1,2,1,2,7
OG0000391,1,1,3,1,1,7
OG0000392,1,2,1,2,1,7
OG0000393,0,7,0,0,0,7
OG0000394,0,3,1,2,1,7
OG0000395,0,2,2,3,0,7
OG0000396,0,3,1,3,0,7
OG0000397,0,2,1,2,2,7
OG0000398,0,1,3,1,2,7
OG0000399,0,2,2,2,1,7
OG0000400,0,1,2,1,3,7
OG0000401,0,1,6,0,0,7
OG0000402,0,1,5,0,1,7
OG0000403,0,3,1,2,1,7
OG0000404,0,7,0,0,0,7
OG0000405,0,1,2,2,2,7
OG0000406,0,2,1,3,1,7
OG0000407,0,2,2,2,1,7
OG0000408,0,3,1,3,0,7
OG0000409,0,2,0,3,2,7
OG0000410,0,2,0,5,0,7
OG0000411,0,1,4,2,0,7
OG0000412,0,3,0,2,2,7
OG0000413,0,1,6,0,0,7
OG0000414,0,2,4,1,0,7
OG0000415,0,1,5,1,0,7
OG0000416,0,3,0,4,0,7
OG0000417,0,1,2,2,2,7
OG0000418,0,1,2,2,2,7
OG0000419,0,1,5,1,0,7
OG0000420,0,2,1,3,1,7
OG0000421,0,1,5,1,0,7
OG0000422,0,3,0,4,0,7
OG0000423,0,1,5,1,0,7
OG0000424,0,2,3,1,1,7
OG0000425,0,1,3,1,2,7
OG0000426,0,3,0,4,0,7
OG0000427,0,2,1,4,0,7
OG0000428,0,1,2,3,1,7
OG0000429,0,2,2,2,1,7
OG0000430,0,1,2,1,3,7
OG0000431,0,1,0,1,5,7
OG0000432,0,1,3,3,0,7
OG0000433,0,0,7,0,0,7
OG0000434,0,0,6,0,1,7
OG0000435,0,0,0,7,0,7
OG0000436,0,0,0,0,7,7
OG0000437,0,0,0,0,7,7
OG0000438,2,1,1,1,1,6
OG0000439,1,2,1,2,0,6
OG0000440,1,0,5,0,0,6
OG0000441,2,1,2,1,0,6
OG0000442,1,0,2,1,2,6
OG0000443,1,1,2,1,1,6
OG0000444,1,2,1,1,1,6
OG0000445,2,1,1,1,1,6
OG0000446,1,1,2,1,1,6
OG0000447,2,1,1,1,1,6
OG0000448,1,1,2,2,0,6
OG0000449,1,1,2,1,1,6
OG0000450,1,1,2,1,1,6
OG0000451,1,1,1,1,2,6
OG0000452,2,1,0,1,2,6
OG0000453,1,1,1,1,2,6
OG0000454,1,2,1,2,0,6
OG0000455,1,1,1,1,2,6
OG0000456,1,1,2,1,1,6
OG0000457,1,1,1,1,2,6
OG0000458,1,1,3,1,0,6
OG0000459,1,1,3,1,0,6
OG0000460,1,2,1,2,0,6
OG0000461,2,1,1,1,1,6
OG0000462,1,1,1,1,2,6
OG0000463,1,1,1,1,2,6
OG0000464,1,1,3,1,0,6
OG0000465,1,2,1,1,1,6
OG0000466,1,1,2,1,1,6
OG0000467,1,1,1,1,2,6
OG0000468,1,2,1,2,0,6
OG0000469,4,1,0,1,0,6
OG0000470,1,1,2,1,1,6
OG0000471,1,1,2,1,1,6
OG0000472,1,1,1,1,2,6
OG0000473,1,2,0,3,0,6
OG0000474,1,2,0,3,0,6
OG0000475,1,2,1,2,0,6
OG0000476,1,1,2,1,1,6
OG0000477,1,2,0,3,0,6
OG0000478,1,2,0,3,0,6
OG0000479,1,1,2,1,1,6
OG0000480,1,0,3,0,2,6
OG0000481,1,2,1,2,0,6
OG0000482,1,1,2,2,0,6
OG0000483,1,1,2,1,1,6
OG0000484,1,1,2,1,1,6
OG0000485,1,1,2,1,1,6
OG0000486,1,1,2,1,1,6
OG0000487,1,1,2,1,1,6
OG0000488,1,1,1,1,2,6
OG0000489,1,1,1,3,0,6
OG0000490,1,1,1,2,1,6
OG0000491,1,2,1,1,1,6
OG0000492,1,1,1,1,2,6
OG0000493,1,1,2,0,2,6
OG0000494,1,1,2,1,1,6
OG0000495,1,1,2,2,0,6
OG0000496,1,1,1,2,1,6
OG0000497,1,1,2,1,1,6
OG0000498,1,2,2,1,0,6
OG0000499,1,1,3,1,0,6
OG0000500,1,1,2,2,0,6
OG0000501,1,1,2,1,1,6
OG0000502,1,1,2,1,1,6
OG0000503,1,1,2,2,0,6
OG0000504,1,1,2,1,1,6
OG0000505,1,1,2,1,1,6
OG0000506,1,1,1,1,2,6
OG0000507,1,2,1,1,1,6
OG0000508,1,1,1,1,2,6
OG0000509,1,1,1,1,2,6
OG0000510,1,1,1,2,1,6
OG0000511,1,1,1,1,2,6
OG0000512,1,1,2,1,1,6
OG0000513,1,1,2,1,1,6
OG0000514,1,1,2,1,1,6
OG0000515,2,1,1,2,0,6
OG0000516,0,2,1,3,0,6
OG0000517,0,2,0,4,0,6
OG0000518,0,2,2,2,0,6
OG0000519,0,1,2,1,2,6
OG0000520,0,2,1,2,1,6
OG0000521,0,5,0,1,0,6
OG0000522,0,6,0,0,0,6
OG0000523,0,1,5,0,0,6
OG0000524,0,1,2,1,2,6
OG0000525,0,1,2,1,2,6
OG0000526,0,1,4,1,0,6
OG0000527,0,2,2,2,0,6
OG0000528,0,2,0,4,0,6
OG0000529,0,1,3,1,1,6
OG0000530,0,2,0,4,0,6
OG0000531,0,1,4,1,0,6
OG0000532,0,1,1,4,0,6
OG0000533,0,1,4,1,0,6
OG0000534,0,6,0,0,0,6
OG0000535,0,2,2,2,0,6
OG0000536,0,2,0,4,0,6
