Number of species	5
Number of genes	18963
Number of genes in orthogroups	14856
Number of unassigned genes	4107
Percentage of genes in orthogroups	78.3
Percentage of unassigned genes	21.7
Number of orthogroups	3624
Number of species-specific orthogroups	401
Number of genes in species-specific orthogroups	1111
Percentage of genes in species-specific orthogroups	5.9
Mean orthogroup size	4.1
Median orthogroup size	3.0
G50 (assigned genes)	5
G50 (all genes)	4
O50 (assigned genes)	951
O50 (all genes)	1465
Number of orthogroups with all species present	566
Number of single-copy orthogroups	334
Date	2025-03-26
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	2553	70.4	6828	46.0
'1	901	24.9	5317	35.8
'2	107	3.0	1237	8.3
'3	32	0.9	533	3.6
'4	14	0.4	307	2.1
'5	10	0.3	268	1.8
'6	1	0.0	31	0.2
'7	1	0.0	36	0.2
'8	1	0.0	40	0.3
'9	1	0.0	46	0.3
'10	1	0.0	52	0.4
11-15	1	0.0	68	0.5
16-20	1	0.0	93	0.6
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	401
2	1279
3	848
4	530
5	566
